RegionName,StateName,City,Metro,CountyName,HomeValue,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
56093,MN,Waseca,,Waseca County,171514.0,56093,12287.0,40.7,54057.0,30094.0,1122.0,9.131602506714414
15370,PA,Franklin Township,,Greene County,158727.0,15370,14440.0,41.3,53724.0,25610.0,1548.0,10.720221606648199
62812,IL,Benton,,Franklin County,74179.0,62812,10881.0,42.3,43721.0,26345.0,1768.0,16.248506571087216
24901,WV,Lewisburg,,Greenbrier County,184954.0,24901,9506.0,45.4,39607.0,30082.0,1347.0,14.169997896065645
74728,OK,Broken Bow,,McCurtain County,93729.0,74728,11231.0,39.1,40039.0,20343.0,2708.0,24.111833318493453
53965,WI,Wisconsin Dells,,Adams County,196053.0,53965,10450.0,46.4,54273.0,32432.0,971.0,9.291866028708133
65026,MO,Eldon,,Miller County,127632.0,65026,11142.0,40.4,42479.0,22893.0,2210.0,19.834859091725004
65708,MO,Monett,,Barry County,126045.0,65708,13773.0,35.9,46556.0,26443.0,2904.0,21.084730995425836
63645,MO,Fredericktown,,Madison County,102700.0,63645,11638.0,41.7,44566.0,24206.0,1561.0,13.412957552844134
38663,MS,Ripley,,Tippah County,94550.0,38663,12310.0,39.4,39205.0,19583.0,2750.0,22.3395613322502
35570,AL,Hamilton,,Marion County,98762.0,35570,11159.0,44.3,37695.0,21207.0,1650.0,14.786271171251904
31014,GA,Cochran,,Bleckley County,106800.0,31014,13180.0,34.9,45435.0,20033.0,2190.0,16.61608497723824
97741,OR,Madras,,Jefferson County,208724.0,97741,12608.0,40.2,50417.0,24117.0,1973.0,15.648794416243653
46534,IN,Knox,,Starke County,126558.0,46534,11686.0,39.0,50374.0,22389.0,2191.0,18.748930344001373
98250,WA,Friday Harbor,,San Juan County,678825.0,98250,8107.0,53.2,70613.0,47867.0,748.0,9.226594301221168
36274,AL,Roanoke,,Randolph County,75631.0,36274,11067.0,42.7,40136.0,24882.0,1888.0,17.059727116653114
71269,LA,Rayville,,Richland Parish,109536.0,71269,12586.0,35.8,36513.0,20060.0,3685.0,29.27856348323534
47586,IN,Tell City,,Perry County,122110.0,47586,11022.0,42.5,50833.0,27162.0,1309.0,11.876247504990019
